date,opponent,goals_for,goals_against,tournament,home
2025-06-09,Moldova,2,0,FIFA World Cup qualification,True
2025-09-05,Estonia,5,0,FIFA World Cup qualification,True
2025-09-08,Israel,5,4,FIFA World Cup qualification,False
2025-10-11,Estonia,3,1,FIFA World Cup qualification,False
2025-10-14,Israel,3,0,FIFA World Cup qualification,True
2025-11-13,Moldova,2,0,FIFA World Cup qualification,False
2025-11-16,Norway,1,4,FIFA World Cup qualification,True
2026-03-26,Northern Ireland,2,0,FIFA World Cup qualification,True
2026-03-31,Bosnia and Herzegovina,1,1,FIFA World Cup qualification,False
2026-06-03,Luxembourg,1,0,Friendly,False
2026-06-07,Greece,1,0,Friendly,False
